wavelength;value (M1);value (M2);value (M3);value (M4);value (m5);value (M6)
220;219.867;132.533;0.69367;0.38867;0.22733;0.13433
221;219.867;1.324;0.691;0.38667;0.228;0.13267
222;219.867;1.309;0.682;0.38167;0.22467;0.13
223;219.867;128.867;0.66967;0.37433;0.21967;0.12767
224;2.188;1.264;0.65667;0.366;0.214;0.12533
225;214.567;122.067;0.63367;0.35267;0.20667;0.12067
226;2.063;1.141;0.59167;0.32967;0.19433;0.11467
227;191.367;1.037;0.53733;0.29933;0.17967;0.107
228;174.333;0.92533;0.47933;0.268;0.16467;0.10033
229;155.267;0.811;0.42067;0.23633;0.148;0.09233
230;139.433;0.72167;0.37533;0.212;0.13467;0.086
231;123.733;0.63867;0.33333;0.19033;0.122;0.07867
232;1.09;0.561;0.29467;0.17;0.11267;0.07267
233;0.96167;0.494;0.26067;0.15167;0.104;0.06633
234;0.83667;0.42733;0.228;0.135;0.095;0.06167
235;0.72533;0.369;0.19867;0.12;0.08667;0.057
236;0.63667;0.32267;0.175;0.10767;0.07933;0.05333
237;0.554;0.27833;0.15333;0.09567;0.07367;0.05067
238;0.48733;0.24333;0.136;0.08633;0.06933;0.048
239;0.42533;0.211;0.12033;0.078;0.06533;0.04533
240;0.38033;0.18767;0.10833;0.072;0.06133;0.044
241;0.34267;0.16833;0.09933;0.067;0.05767;0.04233
242;0.314;0.15367;0.09133;0.06367;0.05567;0.042
243;0.29333;0.14267;0.086;0.06033;0.054;0.04133
244;0.281;0.13633;0.08233;0.05833;0.052;0.04067
245;0.27233;0.132;0.08033;0.05767;0.05167;0.04033
246;0.267;0.12867;0.07933;0.05733;0.05133;0.04
247;0.263;0.12667;0.078;0.05667;0.05133;0.04033
248;0.26067;0.126;0.077;0.05667;0.05133;0.03967
249;0.25967;0.126;0.077;0.05633;0.05067;0.03933
250;0.261;0.128;0.07767;0.057;0.051;0.03933
251;0.26433;0.13067;0.079;0.058;0.05133;0.04033
252;0.26733;0.132;0.07933;0.05833;0.051;0.04033
253;0.26967;0.133;0.08;0.05967;0.052;0.04133
254;0.27233;0.13333;0.081;0.05967;0.05267;0.041
255;0.27667;0.136;0.082;0.06067;0.054;0.041
256;0.28033;0.138;0.083;0.061;0.05467;0.042
257;0.28267;0.14;0.08333;0.06167;0.055;0.04167
258;0.28233;0.13967;0.08333;0.06167;0.05467;0.042
259;0.28;0.139;0.08267;0.06167;0.05467;0.04233
260;0.279;0.13967;0.08233;0.062;0.05467;0.043
261;0.27933;0.14167;0.08267;0.062;0.05433;0.043
262;0.282;0.14467;0.08267;0.06233;0.05367;0.04267
263;0.28567;0.14767;0.08433;0.063;0.05367;0.043
264;0.283;0.14633;0.08333;0.06267;0.05367;0.043
265;0.27467;0.14133;0.08133;0.061;0.05233;0.043
266;0.26467;0.136;0.07933;0.06033;0.052;0.04333
267;0.25567;0.13033;0.077;0.05933;0.05067;0.04267
268;0.24733;0.12533;0.07533;0.05833;0.05;0.04233
269;0.238;0.121;0.07333;0.05633;0.04933;0.04167
270;0.233;0.118;0.07167;0.05633;0.04867;0.04133
271;0.23367;0.119;0.072;0.05633;0.049;0.04133
272;0.231;0.11767;0.07167;0.05567;0.048;0.04133
273;0.21967;0.11233;0.068;0.05333;0.047;0.04
274;0.2;0.10233;0.063;0.05033;0.045;0.039
275;0.181;0.09233;0.05767;0.04733;0.044;0.03767
276;0.16867;0.08567;0.05367;0.04533;0.04267;0.03667
277;0.16;0.08167;0.052;0.04433;0.042;0.03633
278;0.15467;0.07933;0.04967;0.043;0.04133;0.03567
279;0.15067;0.07733;0.04867;0.042;0.04067;0.035
280;0.14667;0.076;0.048;0.041;0.04;0.03433
281;0.14333;0.07467;0.047;0.04067;0.03933;0.034
282;0.14067;0.07333;0.04667;0.03967;0.03867;0.03333
283;0.138;0.072;0.04667;0.03933;0.03867;0.033
284;0.136;0.071;0.04567;0.038;0.03833;0.032
285;0.134;0.07;0.045;0.03733;0.03767;0.03133
286;0.13233;0.069;0.04433;0.03667;0.037;0.03067
287;0.13067;0.06867;0.04433;0.03633;0.03667;0.03033
288;0.12833;0.068;0.04333;0.03533;0.036;0.02933
289;0.12667;0.067;0.04333;0.03533;0.036;0.029
290;0.12533;0.066;0.04233;0.03433;0.035;0.028
291;0.123;0.065;0.04133;0.03367;0.03467;0.02733
292;0.121;0.06467;0.04067;0.033;0.034;0.027
293;0.12;0.064;0.04;0.03267;0.03367;0.02633
294;0.11867;0.06333;0.039;0.03233;0.03367;0.02567
295;0.117;0.06233;0.03867;0.03133;0.03267;0.02533
296;0.11633;0.062;0.03767;0.03133;0.03233;0.02467
297;0.11533;0.06167;0.03767;0.03067;0.03267;0.02467
298;0.114;0.06067;0.037;0.03033;0.03167;0.024
299;0.114;0.06067;0.037;0.03033;0.03167;0.024
300;0.114;0.06167;0.038;0.031;0.03267;0.02533
301;0.114;0.06167;0.038;0.03067;0.03267;0.025
302;0.114;0.06133;0.03733;0.03067;0.03233;0.02467
303;0.113;0.06033;0.03667;0.02967;0.032;0.024
304;0.11267;0.06033;0.03633;0.02967;0.03133;0.024
305;0.112;0.06;0.03633;0.02933;0.031;0.02367
306;0.112;0.05967;0.03667;0.02933;0.031;0.02333
307;0.11133;0.05933;0.03633;0.02933;0.031;0.023
308;0.11067;0.05933;0.03633;0.02933;0.03067;0.023
309;0.11067;0.059;0.036;0.02933;0.03067;0.023
310;0.11033;0.05833;0.036;0.02933;0.03067;0.02267
311;0.11;0.05833;0.036;0.02933;0.03033;0.02267
312;0.11;0.05767;0.03633;0.02967;0.03067;0.02233
313;0.10967;0.05767;0.036;0.03;0.03;0.02233
314;0.11033;0.05733;0.03667;0.031;0.03033;0.02267
315;0.10967;0.057;0.03633;0.03033;0.03;0.02267
316;0.109;0.05667;0.03633;0.03033;0.02933;0.02233
317;0.10867;0.05633;0.036;0.03033;0.02933;0.022
318;0.10833;0.05633;0.03633;0.03067;0.02933;0.02233
